ZCFO1;ZCFO1_TXT;ZCFO1_TXT_2
0121;СПК-УК.Продажи;СПК-УК.Продажи
0201;СПК-Абакан;СПК-Абакан
0301;СПК-Астрахань;СПК-Астрахань
0401;СПК-Белгород;СПК-Белгород
0501;СПК-Благовещенск;СПК-Благовещенск
0601;СПК-Владивосток;СПК-Владивосток
0701;СПК-Волгоград;СПК-Волгоград
0801;СПК-СО;СПК СО УпрБлок
0802;СПК-Екатеринбург;СПК-Екатеринбург
0803;СПК-СТЦ;СПК-СТЦ
0808;СТАМИ-торг;СТАМИ-торг
0811;Пластик;Пластик
0813;СПК-Профиль;СПК-Профиль
0901;СПК-Златоуст;СПК-Златоуст
1001;СПК-Иркутск;СПК-Иркутск
1101;СПК-Казань;СПК-Казань
1201;СПК-К.Уральский;СПК-Каменск-Уральский
1301;СПК-Киров;СПК-Киров
1401;СПК-Краснодар;СПК-Краснодар
1404;СПК-ЮМ (вирт);СПК-ЮМ (вирт)
1501;СПК-Красноярск;СПК-Красноярск
1601;СПК-Курган;СПК-Курган
1701;СПК-Магнитогорск;СПК-Магнитогорск
1801;СПК-Миасс;СПК-Миасс
2001;СПК-Нижневартовск;СПК-Нижневартовск
2101;СПК-Н.Новгород;СПК-Нижний Новгород
2201;СПК-Н.Тагил;СПК-Нижний Тагил
2401;СПК-Новосибирск;СПК-Новосибирск
2601;СПК-Омск;СПК-Омск
2701;СПК-Оренбург;СПК-Оренбург
2901;СПК-Пермь;СПК-Пермь
3001;СПК-Ростов;СПК-Ростов
3101;СПК-Самара;СПК-Самара
3201;СПК-Санкт-Петербург;СПК-Санкт-Петербург
3301;СПК-Саратов;СПК-Саратов
3401;СПК-Сахалин;СПК-Сахалин
3501;СПК-Сочи;СПК-Сочи
3701;СПК-Сургут;СПК-Сургут
3801;СПК-Сыктывкар;СПК-Сыктывкар
3901;СПК-Томск;СПК-Томск
4001;СПК-Тюмень;СПК-Тюмень
4101;СПК-Усинск;СПК-Усинск
4201;СПК-Уфа;СПК-Уфа
4301;СПК-Ухта;СПК-Ухта
4401;СПК-Хабаровск;СПК-Хабаровск
4501;СПК-Челябинск;СПК-Челябинск
4701;СПК-Якутск;СПК-Якутск
6402;СПК-Пенза;СПК-Пенза
6501;СПК-Воронеж;СПК-Воронеж
6801;СПК-Уссурийск;СПК-Уссурийск
7001;СПК-Барнаул;СПК-Барнаул
7101;СПК-Камчатка;СПК-Камчатка
7201;СПК-Ижевск;СПК-Ижевск
7301;СПК-Чебоксары;СПК-Чебоксары
7401;СПК-Кемерово;СПК-Кемерово
7501;СПК-Рязань;СПК-Рязань
7601;СПК-Тула;СПК-Тула
7801;СПК-Ярославль;СПК-Ярославль
8101;СПК-Астана;СПК-Астана
8201;СПК-Н.Челны;СПК-Н.Челны
8301;СПК-Алматы;СПК-Алматы
8401;СПК-Ставрополь;СПК-Ставрополь
8501;СПК-Ульяновск;СПК-Ульяновск
