Код статуса клиента;Текст статуса клиента
000000;Деловой партнер: общее
BBP000;Поставщик
BBP001;Оферент
BBP002;Провайдер портала
BBP003;Завод
BBP004;Закупающая фирма
BEA001;Фактурирующая единица
BUP001;Контактное лицо
BUP004;Организационная единица
BUP005;Пользователь Интернета
BUP006;Пользователь Интернета
CHM001;Партнер - головная фирма
CRM000;Заказчик
CRM002;Получатель материала
CRM003;Плательщик
CRM004;Получатель счета
CRM005;Конкурент
CRM006;Потребитель
CRM007;ОферентТоргПлощадки
CRM008;КлиентТоргПлощадки
CRM010;Фрахтовщик
CRM012;Консолид. работа
CRM013;Восстановитель
CRM014;Область планирования
CRM015;Управление лояльностью клиентов: партнер
CRM016;Web Channel - гость
CRMACC;Клиент
CRMICM;ICM: лицо / организация
FS0000;Деловой партнер: финансовые услуги
FS0001;Финансовые услуги - максимальная функциональность
FSSC01;Балансовая единица
ICMEXT;ICM: внешн.
ISHDPT;Здравоохранение: ДП: врачебная практика
ISHHSP;Здравоохранение: ДП: больница
ISHINS;Здравоохранение: ДП: страхование на случай болезни
ISHMEM;Здравоохранение: ДП: страхователь HMO
ISHPAT;Здравоохранение: ДП: пациент
ISHPHY;Здравоохранение: ДП: врач
PRCONT;Контактное лицо у партнера
PRMP;Канал/партнер
ZAP000;Адресный сбытовой партнер
ZCLF00;Клиент B2C
ZCU000;Клиент
ZCUCLO;Прекративший деятельность клиент
ZCUDDE;Отложенный спрос - клиент
ZCUGON;Ушедший клиент
ZCUNEW;Новый клиент
ZCUONE;Разовый клиент
ZCUPOT;Потенциальный клиент
ZCURET;Возвращенный клиент
ZDJRF0;Подразделения СПК
ZDVNU0;Подразделения СПК(не юр)
ZFJ000;Действующее физ/юр лицо
ZFJCLO;Прекратившее деятельность физ/юр лицо
ZFJELI;Ликвидируется
ZFJLIQ;Ликвидированное физ/юр лицо
ZFL000;Действующее физ/юр лицо
ZLEAD;Лид
ZLEADD;Мертвый лид
ZLEADF;Лид B2C
ZPF000;Потенциальное физ лицо
ZPJF00;Потенциальное юр лицо
ZSP000;Клиент
ZSPDDE;Отложенный спрос
ZSPGON;Ушедший клиент
ZSPLED;ЛИД
ZSPMLD;Мёртвый лид на рынке сбыта
ZSPNEW;Новый клиент
ZSPONE;Разовый клиент
ZSPPOT;Потенциальный клиент
ZSPRET;Возвращенный клиент
