Код филиала;Текст филиала;Код дивизиона для филиала
0101;УК-Управление;01
0102;ДивБлок: УД;02
0103;ДивБлок: ПВД;03
0104;ДивБлок: СД;04
0105;ДивБлок: ДВД;05
0106;ДивБлок: СЗД;06
0107;ДивБлок: ЮД;07
0111;ДивБлок: ЦД;11
0120;ДивБлок: Азия;20
0121;СПК-УК.Продажи;01
0201;СПК-Абакан;04
0202;СМЦ-Абакан;04
0301;СПК-Астрахань;07
0401;СПК-Белгород;07
0501;СПК-Благовещенск;05
0502;СМЦ-Благовещенск;05
0601;СПК-Владивосток;05
0602;СЦМ-Владивосток;21
0701;СПК-Волгоград;07
0801;СПК-СО;02
0802;СПК-Екатеринбург;02
0803;СПК-СТЦ;02
0804;СПК-СЦМ;02
0805;СМЦ-Бетфор;02
0806;СМЦ-Самолетная;02
0807;СМЦ-Балка;02
0808;СТАМИ-торг;02
0809;СМЦ-Стами;02
0811;Пластик;08
0812;Кинезия;09
0813;СПК-Профиль;02
0820;СМЦ-Стами-ТЭС-Екб;02
0821;РЛЦ-ТЭЦ;02
0901;СПК-Златоуст;02
1001;СПК-Иркутск;04
1002;СМЦ-Иркутск;04
1101;СПК-Казань;03
1102;СМЦ-Казань;03
1201;СПК-К.Уральский;02
1301;СПК-Киров;03
1403;СМЦ-Краснодар;07
1404;СПК-ЮМ (вирт);07
1303;СМЦ-Киров;03
1401;СПК-Краснодар;07
1501;СПК-Красноярск;04
1502;СМЦ-Красноярск;04
1504;РЛЦ-Красноярск;04
1601;СПК-Курган;02
1701;СПК-Магнитогорск;02
1801;СПК-Миасс;02
2001;СПК-Нижневартовск;02
2101;СПК-Н.Новгород;03
2201;СПК-Н.Тагил;02
2301;СПК-Новокузнецк;04
2401;СПК-Новосибирск;04
2402;СМЦ-Новосибирск;04
2601;СПК-Омск;04
2602;СМЦ-Омск;04
2701;СПК-Оренбург;03
2901;СПК-Пермь;02
2905;СМЦ-Пермь;02
3001;СПК-Ростов;07
3002;СМЦ-Ростов;07
3101;СПК-Самара;03
3102;СМЦ-Самара;03
3201;СПК-Санкт-Петербург;06
3202;СМЦ-Санкт-Петербург;06
3301;СПК-Саратов;07
3302;СМЦ-Саратов;07
3401;СПК-Сахалин;05
3402;СМЦ-Сахалин;05
3403;СЦМ-Сахалин;21
3501;СПК-Сочи;07
3701;СПК-Сургут;02
3801;СПК-Сыктывкар;03
3901;СПК-Томск;04
3902;СМЦ-Томск;04
4001;СПК-Тюмень;02
4002;СМЦ-Тюмень;02
4101;СПК-Усинск;03
4201;СПК-Уфа;02
4204;СМЦ-Уфа;02
4301;СПК-Ухта;03
4401;СПК-Хабаровск;05
4402;СМЦ-Хабаровск;05
4404;СМЦ-Хабаровск СП;05
4405;Хабаровск МБ2;05
4406;СЦМ-Хабаровск;21
4501;СПК-Челябинск;02
4505;СМЦ-Стами-ТЭС-Чел;02
4506;СМЦ-Челябинск;02
4701;СПК-Якутск;05
5501;СПК-Ханты-Мансийск;02
6901;СПК-Китай;12
6402;СПК-Пенза;03
6501;СПК-Воронеж;07
6801;СПК-Уссурийск;05
6802;СМЦ-Приморье;05
6803;СМЦ-Приморье-ТЭС;05
7001;СПК-Барнаул;04
7002;СМЦ-Барнаул;04
9901;СПК-Новосибирск-2;04
9902;СМЦ-Новосибирск-2;04
7101;СПК-Камчатка;05
7201;СПК-Ижевск;03
7301;СПК-Чебоксары;03
7401;СПК-Кемерово;04
7501;СПК-Рязань;11
7601;СПК-Тула;11
0122;ДивБлок: СЦМ-Д;21
7701;РЛЦ-ДВД;05
7801;СПК-Ярославль;11
7901;СПК-Тольятти;03
8101;СПК-Астана;20
8001;СПК-Симферополь;07
8201;СПК-Н.Челны;03
8301;СПК-Алматы;20
8401;СПК-Ставрополь;07
8501;СПК-Ульяновск;03
0822;СМЦ-УМОиС;02
4006;РЛЦ-Тюмень;02
0123;РЛЦ-УК;01
0124;РЛЦ-Арамиль;01
4507;СЦМ-Челябинск;21
