ZPRODH31;ZPRODH31_TXT
100100110001100;Арматура 5 35гс
100100120001100;Арматура 6 25г2с
100100120001200;Арматура 6 25г2с бух.
100100120001300;Арматура 6 35гс
100100120001400;Арматура 6 35гс бух.
100100120001500;Арматура 6 а400/500с
100100120001600;Арматура 6 а400/500с бух.
100100120001700;Арматура 6 А400
100100120001800;Арматура 6 А400 бух.
100100120001900;Арматура 6 А500
100100120002000;Арматура 6 А500 бух.
100100130001100;Арматура 8 25г2с
100100130001200;Арматура 8 25г2с бух.
100100130001300;Арматура 8 35гс
100100130001400;Арматура 8 35гс бух.
100100130001500;Арматура 8 а400/500с
100100130001600;Арматура 8 а400/500с бух.
100100130001700;Арматура 8 А400
100100130001800;Арматура 8 А400 бух.
100100130001900;Арматура 8 А500
100100130002000;Арматура 8 А500 бух.
100100140001100;Арматура 10 25г2с
100100140001200;Арматура 10 25г2с бух.
100100140001300;Арматура 10 35гс
100100140001400;Арматура 10 35гс бух.
100100140001600;Арматура 10 а400/500с
100100140001700;Арматура 10 а400/500с бух.
100100140001800;Арматура 10 а500сп
100100140001850;Арматура 10 ст5пс/сп
100100140001900;Арматура 10 А400
100100140002000;Арматура 10 А400 бух.
100100140002100;Арматура 10 А500
100100140002200;Арматура 10 А500 бух.
100100145001100;Арматура 11 А500
100100150001100;Арматура 12 25г2с
100100150001200;Арматура 12 25г2с бух.
100100150001300;Арматура 12 35гс
100100150001400;Арматура 12 35гс бух.
100100150001500;Арматура 12 а400/500с
100100150001600;Арматура 12 а400/500с бух.
100100150001700;Арматура 12 а500сп
100100150001800;Арматура 12 а600с
100100150002300;Арматура 12 ст5пс/сп
100100150002400;Арматура 12 А400
100100150002500;Арматура 12 А400 бух.
100100150002600;Арматура 12 А500
100100150002700;Арматура 12 А500 бух.
100100160001100;Арматура 14 25г2с
100100160001200;Арматура 14 25г2с бух.
100100160001300;Арматура 14 35гс
100100160001400;Арматура 14 35гс бух.
100100160001500;Арматура 14 а400/500с
100100160001600;Арматура 14 а400/500с бух.
100100160001700;Арматура 14 а500сп
100100160001800;Арматура 14 а600с
100100160001900;Арматура 14 23х2г2т
100100160002000;Арматура 14 А400
100100160002100;Арматура 14 А400 бух.
100100160002200;Арматура 14 А500
100100160002300;Арматура 14 А500 бух.
100100170001100;Арматура 16 25г2с
100100170001200;Арматура 16 35гс
100100170001300;Арматура 16 35гс бух.
100100170001400;Арматура 16 а400/500с
100100170001500;Арматура 16 а500сп
100100170001550;Арматура 16 ас500с
100100170001600;Арматура 16 а600с
100100170001700;Арматура 16 А400
100100170001800;Арматура 16 А500
100100180001100;Арматура 18 25г2с
100100180001200;Арматура 18 35гс
100100180001300;Арматура 18 а400/500с
100100180001400;Арматура 18 а500сп
100100180001450;Арматура 18 ас500с
100100180001500;Арматура 18 а600с
100100180001550;Арматура 18 ст5пс/сп
100100180001600;Арматура 18 А400
100100180001700;Арматура 18 А500
100100190001100;Арматура 20 25г2с
100100190001200;Арматура 20 35гс
100100190001300;Арматура 20 а400/500с
100100190001400;Арматура 20 а500сп
100100190001500;Арматура 20 а600с
100100190001600;Арматура 20 А400
100100190001700;Арматура 20 А500
100100200001100;Арматура 22 25г2с
100100200001200;Арматура 22 35гс
100100200001300;Арматура 22 а400/500с
100100200001400;Арматура 22 а500сп
100100200001500;Арматура 22 а600с
100100200001600;Арматура 22 А400
100100200001700;Арматура 22 А500
100100210001100;Арматура 25 25г2с
100100210001200;Арматура 25 35гс
100100210001300;Арматура 25 а400/500с
100100210001400;Арматура 25 а500сп
100100210001500;Арматура 25 а600с
100100210001600;Арматура 25 А400
100100210001700;Арматура 25 А500
100100220001100;Арматура 28 25г2с
100100220001200;Арматура 28 35гс
100100220001300;Арматура 28 а400/500с
