question,answer,comment
Покажи фактуры,select distinct VBRK_VBELN from ZZSDM_117_CUST,Список уникальных фактур фактур <VBRK_VBELN>:
Покажи фактуры и позиции,"select VBRK_VBELN, VBRP_POSNR from ZZSDM_117_CUST",Список фактур <VBRK_VBELN> и позиций <VBRP_POSNR>:
Покажи общую маржинальную прибыль,select sum(ZAMARGPRF_RUB) as ZAMARGPRF_RUB from ZZSDM_117_CUST,Общая маржинальная прибыль составила <ZAMARGPRF_RUB>
Покажи фактуры и количество позиций,"SELECT VBRK_VBELN, COUNT(VBRP_POSNR) AS Positions_Count FROM ZZSDM_117_CUST GROUP BY VBRK_VBELN",Общая маржинальная прибыль составила <ZAMARGPRF_RUB>
Покажи список клиентов,"SELECT DISTINCT ZCUSTOMER, ZCUSTOMER_TXT FROM ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON ZCUSTOMER.ZCUSTOMER = ZZSDM_117_CUST.ZCUSTOMER",Список уникальных клиентов <ZCUSTOMER_TXT>:
Покажи топ 5 самых дорогих позиций,"SELECT TOP 5 VBRK_VBELN, VBRP_POSNR, VBRP_NETWR FROM ZZSDM_117_CUST ORDER BY VBRP_NETWR DESC",Список из 5 фактур <VBRK_VBELN> и позиций <VBRP_POSNR> с самой высокой выручкой VBRP_NETWR:
Покажи среднюю маржу по позициям,SELECT AVG(ZAMARGPRF_RUB) AS ZAMARGPRF_RUB FROM ZZSDM_117_CUST,Средняя маржа по позициям составила <ZAMARGPRF_RUB>
Покажи среднюю маржу по фактурам,SELECT AVG(ZAMARGPRF_RUB) AS ZAMARGPRF_RUB FROM (select sum(ZAMARGPRF_RUB) from ZZSDM_117_CUST group by VBRK_VBELN) as t,Средняя маржа по фактурам составила <ZAMARGPRF_RUB>
Покажи среднюю маржу по отгрузкам,SELECT AVG(ZAMARGPRF_RUB) AS ZAMARGPRF_RUB FROM (select sum(ZAMARGPRF_RUB) from ZZSDM_117_CUST group by VBRK_VBELN) as t,Средняя маржа по фактурам составила <ZAMARGPRF_RUB>
Покажи маржу по отгрузкам,"SELECT VBRK_VBELN, sum(ZAMARGPRF_RUB) AS Avg_Margin FROM ZZSDM_117_CUST group by VBRK_VBELN",Список из фактур <VBRK_VBELN> и маржи <ZAMARGPRF_RUB> по этим фактурам:
Покажи отгрузку с большим количество позиций,"SELECT TOP 1 VBRK_VBELN, count(VBRP_POSNR) VBRP_POSNR FROM ZZSDM_117_CUST group by VBRK_VBELN ORDER BY count(VBRP_POSNR) DESC",Отгрузка <VBRK_VBELN> имеет <VBRP_POSNR> позиций. Это самое большое количество позиций для отгрузки
Покажи топ 3 менеджера по количеству отгрузок,"SELECT TOP 3 VBRK_ZZPERNR_ZM, VBRK_ZZPERNR_ZM_TXT, count(distinct VBRK_VBELN) from ZZSDM_117_CUST LEFT JOIN VBRK_ZZPERNR_ZM ON VBRK_ZZPERNR_ZM.VBRK_ZZPERNR_ZM = ZZSDM_117_CUST.VBRK_ZZPERNR_ZM group by VBRK_ZZPERNR_ZM, VBRK_ZZPERNR_ZM_TXT order by count(distinct VBRK_VBELN) desc",Список из 3 менеджеров <VBRK_ZZPERNR_ZM_TXT> по количеству отгрузок:
Покажи количество отгруженных клиентов в уральском дивизионе,select count(distinct ZCUSTOMER) from ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON ZDIV.ZDIV = ZZSDM_117_CUST.ZDIV where UPPER(ZDIV_TXT) LIKE 'УРАЛЬСКИЙ%ДИВИЗИОН',Список отгруженных клиентов <ZCUSTOMER> в уральском дивизионе:
Покажи количество отгруженных клиентов в филиале спк Владивосток,select count(distinct ZCUSTOMER) from ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON ZCFO1.ZCFO1 = ZZSDM_117_CUST.ZCFO1 where UPPER(ZCFO1_TXT) LIKE 'СПК%ВЛАДИВОСТОК',Список отгруженных клиентов <ZCUSTOMER> в филиале спк Владивосток:
Покажи количество отгрузок в сибирском дивизионе,select count(distinct VBRK_VBELN) from ZZSDM_117_CUSTT LEFT JOIN ZCUSTOMER ON ZDIV.ZDIV = ZZSDM_117_CUST.ZDIV where UPPER(ZDIV_TXT) LIKE 'СИБИРСКИЙ%ДИВИЗИОН' ,Список фактур <VBRK_VBELN> в сибирском дивизионе:
Покажи количество отгрузок в филиале смц иркутск,select count(distinct VBRK_VBELN) as COUNT_OF_VBRK_VBELN from ZZSDM_117_CUSTT LEFT JOIN ZCUSTOMER ON ZCFO1.ZCFO1 = ZZSDM_117_CUST.ZCFO1 where UPPER(ZCFO1_TXT) LIKE 'СМЦ%ИРКУТСК' ,В филиале СМЦ Иркутск было <COUNT_OF_VBRK_VBELN> отгрузок
Покажи отгрузку с максимальной маржинальной прибылью в поволжском дивизионе,"select TOP 1 VBRK_VBELN, sum(ZAMARGPRF_RUB) as ZAMARGPRF_RUB from ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON ZDIV.ZDIV = ZZSDM_117_CUST.ZDIV where UPPER(ZDIV_TXT) LIKE 'ПОВОЛЖСКИЙ%ДИВИЗИОН' group by VBRK_VBELN order by sum(ZAMARGPRF_RUB) desc",Отгрузка <VBRK_VBELN> имеет маржинальную прибыль <ZAMARGPRF_RUB>. Это самая большая маржинальная прибыль у отгрузки в Поволжском дивизионе 
Покажи выручку в уральском и сибирском дивизионе,"select ZDIV, ZDIV_TXT sum(VBRP_NETWR) from ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON ZDIV.ZDIV = ZZSDM_117_CUST.ZDIV where (UPPER(ZDIV_TXT) LIKE 'СИБИРСКИЙ%ДИВИЗИОН' OR UPPER(ZDIV_TXT) LIKE 'УРАЛЬСКИЙ%ДИВИЗИОН') group by ZDIV, ZDIV_TXT",Список выручки <VBRP_NETWR> по Уральскому и Сибирскому дивизионам
Покажи выручку в филиалах смц Абакан и спк Абакан,"select ZCFO1, ZCFO1_TXT sum(VBRP_NETWR) from ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON ZCFO1.ZCFO1 = ZZSDM_117_CUST.ZCFO1 where (UPPER(ZCFO1_TXT) LIKE 'СМЦ%АБАКАН' OR UPPER(ZCFO1_TXT) LIKE 'СПК%АБАКАН') group by ZCFO1, ZCFO1_TXT",Список выручки <VBRP_NETWR> по филиалам смц Абакан и спк Абакан
Покажи количество отгрузок с обычным видом сделки,select count(distinct VBRK_VBELN) COUNT_OF_VBRK_VBELN from ZZSDM_117_CUST WHERE UPPER(TYPE_ORDER_TXT) LIKE 'ОБЫЧНАЯ',Было <COUNT_OF_VBRK_VBELN> отгрузок с обычным видом сделки
сколько тонн было отгружено по экспортным сделкам,select sum(ZQSHIPTOF) as ZQSHIPTOF from ZZSDM_117_CUST where UPPER(TYPE_ORDER_TXT) LIKE 'ЭКСПОРТ',Было отгружено <ZQSHIPTOF> тонн по экспортным сделкам
сколько килограмм было отгружено по экспортным сделкам,select sum(ZQSHIPTOF) * 1000 as ZQSHIPTOF_KG from ZZSDM_117_CUST where UPPER(TYPE_ORDER_TXT) LIKE 'ЭКСПОРТ',Было отгружено <ZQSHIPTOF_KG> килограмм по экспортным сделкам
сколько было отгружено по категории материала тмп,select sum(ZQSHIPTOF) as ZQSHIPTOF from ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON ZPROD_CAT.ZPROD_CAT = ZZSDM_117_CUST.ZPROD_CAT where UPPER(ZPROD_CAT_TXT) = 'ТМП',Было отгружено <ZQSHIPTOF> тонн по экспортным сделкам
сколько b2b клиентов было отгружено,select count(distinct ZCUSTOMER) as COUNT_OF_ZCUSTOMER from ZZSDM_117_CUST where UPPER(BUT000_BPKIND) = 'B2B',Было отгружено <COUNT_OF_ZCUSTOMER> b2b клиентов
покажи общую выручку по отрасли машиностроение по филиалу спк екатеринбург,select sum(VBRP_NETWR) as VBRP_NETWR from ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON INDUSTRY.INDUSTRY = ZZSDM_117_CUST.INDUSTRY LEFT JOIN ZCUSTOMER ON ZCFO1.ZCFO1 = ZZSDM_117_CUST.ZCFO1 where UPPER(INDUSTRY_TXT) = 'МАШИНОСТРОЕНИЕ' and UPPER(ZCFO1_TXT) = 'СПК%ЕКАТЕРИНБУРГ',Общая выручка по отрасли машиностроение по филиалу спк екатеринбург составила <VBRP_NETWR>
сколько было отгрузок в 2024 году у менеджера Наумовой Ольги Павловны?,"select count(distinct VBRK_VBELN) as COUNT_OF_VBRK_VBELN from ZZSDM_117_CUST LEFT JOIN VBRK_ZZPERNR_ZM ON VBRK_ZZPERNR_ZM.VBRK_ZZPERNR_ZM = ZZSDM_117_CUST.VBRK_ZZPERNR_ZM where UPPER(VBRK_ZZPERNR_ZM_TXT) LIKE 'НАУМОВА%ОЛЬГА%ПАВЛОВНА' and left(VBRK_FKDAT, 4) = '2024'",В 2024 году у менеджера Наумовой Ольги Павловны было <COUNT_OF_VBRK_VBELN> отгрузок
сколько было отгрузок в 2024 году у менеджера Барышниковой Натальи Андреевны?,"select count(distinct VBRK_VBELN) from ZZSDM_117_CUST LEFT JOIN VBRK_ZZPERNR_ZM ON VBRK_ZZPERNR_ZM.VBRK_ZZPERNR_ZM = ZZSDM_117_CUST.VBRK_ZZPERNR_ZM where UPPER(VBRK_ZZPERNR_ZM_TXT) LIKE 'БАРЫШНИКОВА%НАТАЛЬЯ%АНДРЕЕВНА' and left(VBRK_FKDAT, 4) = '2024'",В 2024 году у менеджера Барышниковой Натальи Андреевны было <COUNT_OF_VBRK_VBELN> отгрузок
сколько было отгрузок с иерархией нулевого уровня трубой?,select count(distinct VBRK_VBELN) as COUNT_OF_VBRK_VBELN from ZZSDM_117_CUST LEFT JOIN ZPRODH01 ON ZPRODH01.ZPRODH01 = ZZSDM_117_CUST.ZPRODH01 where UPPER(ZPRODH01_TXT) LIKE 'ТРУБА',С иерархией нулевого уровня трубой было <COUNT_OF_VBRK_VBELN> отгрузок
сколько было отгрузок с иерархией первого уровня Труба Б Ш?,select count(distinct VBRK_VBELN) as COUNT_OF_VBRK_VBELN from ZZSDM_117_CUST LEFT JOIN ZPRODH11 ON ZPRODH11.ZPRODH11 = ZZSDM_117_CUST.ZPRODH11 where UPPER(ZPRODH11_TXT) LIKE 'ТРУБА%Б%Ш',С иерархией первого уровня Трубой Б Ш было <COUNT_OF_VBRK_VBELN> отгрузок
сколько было отгрузок с иерархией второго уровня Арматурой 32?,select count(distinct VBRK_VBELN) as COUNT_OF_VBRK_VBELN from ZZSDM_117_CUST LEFT JOIN ZPRODH21 ON ZPRODH21.ZPRODH21 = ZZSDM_117_CUST.ZPRODH21 where UPPER(ZPRODH21_TXT) LIKE 'АРМАТУРА%32',С иерархией второго уровня Арматурой 32 было <COUNT_OF_VBRK_VBELN> отгрузок
когда была первая отгрузка клиента крепёжные системы?,select min(VBRK_FKDAT) as VBRK_FKDAT from ZZSDM_117_CUST LEFT JOIN ZCUSTOMER ON ZCUSTOMER.ZCUSTOMER = ZZSDM_117_CUST.ZCUSTOMER where UPPER(ZCUSTOMER_TXT) LIKE '%КРЕПЁЖНЫЕ%СИСТЕМЫ%',Первая отгрузка клиента крепёжные системы была <VBRK_FKDAT>
когда была последняя отгрузка клиента с кодом 9000398679?,select max(VBRK_FKDAT) as VBRK_FKDAT from ZZSDM_117_CUST where ZCUSTOMER = '9000398679',Последняя отгрузка клиента с кодом 9000398679 была <VBRK_FKDAT>
когда была последняя отгрузка с кодом иерархии нулевого уровня 940?,select max(VBRK_FKDAT) as VBRK_FKDAT from ZZSDM_117_CUST where ZPRODH01 = '940',Последняя отгрузка с кодом иерархии нулевого уровня 940 была <VBRK_FKDAT>
Выведи фактуры за 2024 год,"SELECT count(distinct VBRK_VBELN) FROM ZZSDM_117_CUST WHERE left(VBRK_FKDAT, 4) = '2024'",Список уникальных фактура <VBRK_VBELN> за 2024 год:
"Покажи фактуры и позиции, отгруженные за последнюю неделю","SELECT VBRK_VBELN, VBRP_POSNR FROM ZZSDM_117_CUST WHERE VBRK_FKDAT >= to_varchar(add_days(CURRENT_DATE, -7), 'YYYYMMDD')",Список фактур <VBRK_VBELN> и позиций за последнюю неделю:
В каком месяце 2023 года была самая высокая выручка?,"SELECT TOP 1 left(VBRK_FKDAT, 6) AS Month, SUM(VBRP_NETWR) AS VBRP_NETWR FROM ZZSDM_117_CUST WHERE left(VBRK_FKDAT, 4) = '2023' GROUP BY left(VBRK_FKDAT, 6) ORDER BY SUM(VBRP_NETWR) DESC",В месяце <Month> была выручка <VBRP_NETWR>. Это самая большая выручка в 2023 году.
Сколько клиентов отгрузилось в январе?,"SELECT count(distinct ZCUSTOMER) COUNT_OF_ZCUSTOMER FROM ZZSDM_117_CUST WHERE left(VBRK_FKDAT, 6) = to_varchar(CURRENT_DATE, 'YYYY') || '01'",В январе отгрузилось <COUNT_OF_ZCUSTOMER> клиентов
Покажи распределение выручки по кварталам за 2024 год,"select QUARTER(VBRK_FKDAT), sum(VBRP_NETWR) from ZZSDM_117_CUST where left(VBRK_FKDAT, 4) = '2024' group by quarter(VBRK_FKDAT)",Список распределения выручки <VBRK_FKDAT> по кварталам за 2024 год:
Покажи выручку за период января 2023 года по май 2024 года,"SELECT SUM(VBRP_NETWR) as VBRP_NETWR FROM ZZSDM_117_CUST WHERE left(VBRK_FKDAT, 6) BETWEEN '202301' AND '202305'",С января 2023 года по май 2024 года выручка составила VBRP_NETWR
Покажи выручку за второе мая,"SELECT SUM(VBRP_NETWR) as VBRP_NETWR FROM ZZSDM_117_CUST WHERE VBRK_FKDAT = to_varchar(CURRENT_DATE, 'YYYY') || '0502'",За 2 мая выручка составила VBRP_NETWR
Покажи выручку за вчера,"SELECT SUM(VBRP_NETWR) as VBRP_NETWR FROM ZZSDM_117_CUST WHERE VBRK_FKDAT = to_varchar(add_days(CURRENT_DATE, -1), 'YYYYMMDD')",За вчера выручка составила VBRP_NETWR
Покажи выручку за первый квартал,"SELECT SUM(VBRP_NETWR) as VBRP_NETWR FROM ZZSDM_117_CUST WHERE QUARTER(VBRK_FKDAT) = to_varchar(CURRENT_DATE, 'YYYY') || '-Q1'",За первый квартал выручка составила VBRP_NETWR
Покажи выручку за второй квартал,"SELECT SUM(VBRP_NETWR) as VBRP_NETWR FROM ZZSDM_117_CUST WHERE QUARTER(VBRK_FKDAT) = to_varchar(CURRENT_DATE, 'YYYY') || '-Q2'",За второй квартал выручка составила VBRP_NETWR
Покажи выручку за текущий квартал,SELECT SUM(VBRP_NETWR) as VBRP_NETWR FROM ZZSDM_117_CUST WHERE QUARTER(VBRK_FKDAT) = QUARTER(CURRENT_DATE),За текущий квартал выручка составила VBRP_NETWR
Покажи выручку с первого по пятое марта,"SELECT SUM(VBRP_NETWR) FROM ZZSDM_117_CUST WHERE VBRK_FKDAT BETWEEN to_varchar(CURRENT_DATE, 'YYYY') || '0301' AND to_varchar(CURRENT_DATE, 'YYYY') || '0305'",С первого по пятое марта выручка составила VBRP_NETWR
Покажи маржу за текущий месяц по филиалам СПК-Казань и СМЦ-Иркутск,"select ZCFO1, ZCFO1_TXT, sum(ZAMARGPRF_RUB) from ZZSDM_117_CUST LEFT JOIN ZCFO1 ON ZCFO1.ZCFO1 = ZZSDM_117_CUST.ZCFO1 where (UPPER(ZCFO1_TXT) like '%СПК%КАЗАНЬ%' or UPPER(ZCFO1_TXT) like '%СПК%ИРКУТСК%') and left(VBRK_FKDAT, 6) = to_varchar(CURRENT_DATE, 'YYYYMM') group by ZCFO1, ZCFO1_TXT",Список маржинальной прибыли <ZAMARGPRF_RUB> по филиалам СПК-Казань и СМЦ-Иркутск за текущий месяц:
Покажи маржу за прошлый год,"select sum(ZAMARGPRF_RUB) as ZAMARGPRF_RUB from ZZSDM_117_CUST where left(VBRK_FKDAT, 4) = to_varchar(add_year(CURRENT_DATE, -1), 'YYYY')",За прошлый год маржинальная прибыль составила <ZAMARGPRF_RUB>
